"","NDVI","Dates","Legend"
"160",0.7379,2005-12-19,"NDVI"
"161",0.7134,2005-12-27,"NDVI"
"162",0.7379,2006-01-01,"NDVI"
"163",0.8184,2006-01-09,"NDVI"
"164",0.7888,2006-01-17,"NDVI"
"165",0.8306,2006-01-25,"NDVI"
"166",0.8472,2006-02-02,"NDVI"
"167",0.8233,2006-02-10,"NDVI"
"168",0.8353,2006-02-18,"NDVI"
"169",0.8004,2006-02-26,"NDVI"
"170",0.717,2006-03-06,"NDVI"
"171",0.6707,2006-03-14,"NDVI"
"172",0.6401,2006-03-22,"NDVI"
"173",0.4313,2006-03-30,"NDVI"
"174",0.2786,2006-04-07,"NDVI"
"175",0.2036,2006-04-15,"NDVI"
"176",0.206,2006-04-23,"NDVI"
"177",0.2044,2006-05-01,"NDVI"
"178",0.1445,2006-05-09,"NDVI"
"179",0.1562,2006-05-17,"NDVI"
"180",0.1843,2006-05-25,"NDVI"
"181",0.2181,2006-06-02,"NDVI"
"182",0.1664,2006-06-10,"NDVI"
"183",0.1928,2006-06-18,"NDVI"
"184",0.5308,2006-06-26,"NDVI"
"185",0.5529,2006-07-04,"NDVI"
"186",0.5091,2006-07-12,"NDVI"
"187",0.8237,2006-07-20,"NDVI"
"188",0.8796,2006-07-28,"NDVI"
"189",0.8019,2006-08-05,"NDVI"
"190",0.8705,2006-08-13,"NDVI"
"191",0.8193,2006-08-21,"NDVI"
"192",0.8664,2006-08-29,"NDVI"
"193",0.7953,2006-09-06,"NDVI"
"194",0.7323,2006-09-14,"NDVI"
"195",0.7026,2006-09-22,"NDVI"
"196",0.6992,2006-09-30,"NDVI"
"197",0.4188,2006-10-08,"NDVI"
"198",0.4835,2006-10-16,"NDVI"
"199",0.1558,2006-10-24,"NDVI"
"200",0.136,2006-11-01,"NDVI"
"201",0.2958,2006-11-09,"NDVI"
"202",0.3051,2006-11-17,"NDVI"
"203",0.339,2006-11-25,"NDVI"
"204",0.7223,2006-12-03,"NDVI"
"205",0.7458,2006-12-11,"NDVI"
"206",0.8159,2006-12-19,"NDVI"
"207",0.8152,2006-12-27,"NDVI"
"208",0.8159,2007-01-01,"NDVI"
"209",0.7767,2007-01-09,"NDVI"
"210",0.8365,2007-01-17,"NDVI"
"211",0.8,2007-01-25,"NDVI"
"212",0.8657,2007-02-02,"NDVI"
"213",0.8159,2007-02-10,"NDVI"
"214",0.8328,2007-02-18,"NDVI"
"215",0.7371,2007-02-26,"NDVI"
"216",0.8121,2007-03-06,"NDVI"
"217",0.6494,2007-03-14,"NDVI"
"218",0.6016,2007-03-22,"NDVI"
"219",0.2599,2007-03-30,"NDVI"
"220",0.2475,2007-04-07,"NDVI"
"221",0.2285,2007-04-15,"NDVI"
"222",0.2305,2007-04-23,"NDVI"
"223",0.2221,2007-05-01,"NDVI"
"224",0.2138,2007-05-09,"NDVI"
"225",0.2331,2007-05-17,"NDVI"
"226",0.1972,2007-05-25,"NDVI"
"227",0.2038,2007-06-02,"NDVI"
"228",0.2693,2007-06-10,"NDVI"
"229",0.1543,2007-06-18,"NDVI"
"230",0.5365,2007-06-26,"NDVI"
"231",0.5027,2007-07-04,"NDVI"
"232",0.6309,2007-07-12,"NDVI"
"233",0.7553,2007-07-20,"NDVI"
"234",0.8551,2007-07-28,"NDVI"
"235",0.7223,2007-08-05,"NDVI"
"236",0.819,2007-08-13,"NDVI"
"237",0.8585,2007-08-21,"NDVI"
"238",0.7488,2007-08-29,"NDVI"
"239",0.8249,2007-09-06,"NDVI"
"240",0.7913,2007-09-14,"NDVI"
"241",0.6979,2007-09-22,"NDVI"
"242",0.6772,2007-09-30,"NDVI"
"243",0.5725,2007-10-08,"NDVI"
"244",0.2804,2007-10-16,"NDVI"
"245",0.186,2007-10-24,"NDVI"
"246",0.1782,2007-11-01,"NDVI"
"247",0.2008,2007-11-09,"NDVI"
"248",0.1979,2007-11-17,"NDVI"
"249",0.3105,2007-11-25,"NDVI"
"250",0.6615,2007-12-03,"NDVI"
"251",0.626,2007-12-11,"NDVI"
"252",0.7511,2007-12-19,"NDVI"
"253",0.7632,2007-12-27,"NDVI"
"254",0.7511,2008-01-01,"NDVI"
"255",0.812,2008-01-09,"NDVI"
"256",0.8034,2008-01-17,"NDVI"
"257",0.8336,2008-01-25,"NDVI"
"258",0.8185,2008-02-02,"NDVI"
"259",0.8152,2008-02-10,"NDVI"
"260",0.8,2008-02-18,"NDVI"
"261",0.8286,2008-02-26,"NDVI"
"262",0.7077,2008-03-05,"NDVI"
"263",0.5733,2008-03-13,"NDVI"
"264",0.5558,2008-03-21,"NDVI"
"265",0.2543,2008-03-29,"NDVI"
"266",0.2258,2008-04-06,"NDVI"
"267",0.1909,2008-04-14,"NDVI"
"268",0.1888,2008-04-22,"NDVI"
"269",0.188,2008-04-30,"NDVI"
"270",0.1521,2008-05-08,"NDVI"
"271",0.134,2008-05-16,"NDVI"
"272",0.1469,2008-05-24,"NDVI"
"273",0.1419,2008-06-01,"NDVI"
"274",0.1958,2008-06-09,"NDVI"
"275",0.1038,2008-06-17,"NDVI"
"276",0.2647,2008-06-25,"NDVI"
"277",0.4667,2008-07-03,"NDVI"
"278",0.2961,2008-07-11,"NDVI"
"279",0.601,2008-07-19,"NDVI"
"280",0.1392,2008-07-27,"NDVI"
"281",0.7602,2008-08-04,"NDVI"
"282",0.7897,2008-08-12,"NDVI"
"283",0.8323,2008-08-20,"NDVI"
"284",0.8236,2008-08-28,"NDVI"
"285",0.8,2008-09-05,"NDVI"
"286",0.713,2008-09-13,"NDVI"
"287",0.7494,2008-09-21,"NDVI"
"288",0.5146,2008-09-29,"NDVI"
"289",0.3359,2008-10-07,"NDVI"
"290",0.2898,2008-10-15,"NDVI"
"291",0.1843,2008-10-23,"NDVI"
"292",0.1671,2008-10-31,"NDVI"
"293",0.1973,2008-11-08,"NDVI"
"294",0.2095,2008-11-16,"NDVI"
"295",0.395,2008-11-24,"NDVI"
"296",0.7247,2008-12-02,"NDVI"
"297",0.7865,2008-12-10,"NDVI"
"298",0.7504,2008-12-18,"NDVI"
"299",0.8378,2008-12-26,"NDVI"
"300",0.8087,2009-01-01,"NDVI"
"301",0.8378,2009-01-09,"NDVI"
"302",0.8579,2009-01-17,"NDVI"
"303",0.8616,2009-01-25,"NDVI"
"304",0.8507,2009-02-02,"NDVI"
"305",0.7985,2009-02-10,"NDVI"
"306",0.7641,2009-02-18,"NDVI"
"307",0.6868,2009-02-26,"NDVI"
"308",0.6452,2009-03-06,"NDVI"
"309",0.5037,2009-03-14,"NDVI"
"310",0.2823,2009-03-22,"NDVI"
"311",0.2084,2009-03-30,"NDVI"
"312",0.209,2009-04-07,"NDVI"
"313",0.1886,2009-04-15,"NDVI"
"314",0.1963,2009-04-23,"NDVI"
"315",0.1814,2009-05-01,"NDVI"
"316",0.1825,2009-05-09,"NDVI"
"317",0.1493,2009-05-17,"NDVI"
"318",0.1455,2009-05-25,"NDVI"
"319",0.1661,2009-06-02,"NDVI"
"320",0.1626,2009-06-10,"NDVI"
"321",0.1594,2009-06-18,"NDVI"
"322",0.2041,2009-06-26,"NDVI"
"323",0.2489,2009-07-04,"NDVI"
"324",0.8422,2009-07-12,"NDVI"
"325",0.6798,2009-07-20,"NDVI"
"326",0.7351,2009-07-28,"NDVI"
"327",0.8448,2009-08-05,"NDVI"
"328",0.8228,2009-08-13,"NDVI"
"329",0.8452,2009-08-21,"NDVI"
"330",0.8583,2009-08-29,"NDVI"
"331",0.8623,2009-09-06,"NDVI"
"332",0.7454,2009-09-14,"NDVI"
"333",0.7078,2009-09-22,"NDVI"
"334",0.6618,2009-09-30,"NDVI"
"335",0.5752,2009-10-08,"NDVI"
"336",0.368,2009-10-16,"NDVI"
"337",0.0212,2009-10-24,"NDVI"
"338",0.1973,2009-11-01,"NDVI"
"339",0.1604,2009-11-09,"NDVI"
"340",0.1735,2009-11-17,"NDVI"
"341",0.2758,2009-11-25,"NDVI"
"342",0.2585,2009-12-03,"NDVI"
"343",0.4433,2009-12-11,"NDVI"
"344",0.5262,2009-12-19,"NDVI"
"345",0.5863,2009-12-27,"NDVI"
"346",0.7858,2010-01-01,"NDVI"
"347",0.7454,2010-01-09,"NDVI"
"348",0.8643,2010-01-17,"NDVI"
"349",0.8309,2010-01-25,"NDVI"
"350",0.8439,2010-02-02,"NDVI"
"351",0.8711,2010-02-10,"NDVI"
"352",0.862,2010-02-18,"NDVI"
"353",0.843,2010-02-26,"NDVI"
"354",0.8444,2010-03-06,"NDVI"
"355",0.6227,2010-03-14,"NDVI"
"356",0.3609,2010-03-22,"NDVI"
"357",0.3741,2010-03-30,"NDVI"
"358",0.2442,2010-04-07,"NDVI"
"359",0.196,2010-04-15,"NDVI"
"360",0.1893,2010-04-23,"NDVI"
"361",0.1535,2010-05-01,"NDVI"
"362",0.1373,2010-05-09,"NDVI"
"363",0.1295,2010-05-17,"NDVI"
"364",0.1476,2010-05-25,"NDVI"
"365",0.1638,2010-06-02,"NDVI"
"366",0.1841,2010-06-10,"NDVI"
"367",0.1553,2010-06-18,"NDVI"
"368",0.1862,2010-06-26,"NDVI"
"369",0.4207,2010-07-04,"NDVI"
"370",0.2883,2010-07-12,"NDVI"
"371",0.6134,2010-07-28,"NDVI"
"372",0.3726,2010-08-05,"NDVI"
"373",0.8958,2010-08-13,"NDVI"
"374",0.8667,2010-08-21,"NDVI"
"375",0.7838,2010-08-29,"NDVI"
"376",0.8321,2010-09-06,"NDVI"
"377",0.7593,2010-09-14,"NDVI"
"378",0.6969,2010-09-22,"NDVI"
"379",0.5497,2010-09-30,"NDVI"
"380",0.6202,2010-10-08,"NDVI"
"381",0.3009,2010-10-16,"NDVI"
"382",0.3729,2010-10-24,"NDVI"
"383",0.2456,2010-11-01,"NDVI"
"384",0.1907,2010-11-09,"NDVI"
"385",0.2622,2010-11-17,"NDVI"
"386",0.2792,2010-11-25,"NDVI"
"387",0.5908,2010-12-03,"NDVI"
"388",0.5799,2010-12-11,"NDVI"
"389",0.6387,2010-12-19,"NDVI"
"390",0.7869,2010-12-27,"NDVI"
"391",0.7457,2011-01-01,"NDVI"
"392",0.8334,2011-01-09,"NDVI"
"393",0.8346,2011-01-17,"NDVI"
"394",0.9033,2011-01-25,"NDVI"
"395",0.7649,2011-02-02,"NDVI"
"396",0.8939,2011-02-10,"NDVI"
"397",0.8726,2011-02-18,"NDVI"
"398",0.8416,2011-02-26,"NDVI"
"399",0.8513,2011-03-06,"NDVI"
"400",0.7433,2011-03-14,"NDVI"
"401",0.348,2011-03-22,"NDVI"
"402",0.3782,2011-03-30,"NDVI"
"403",0.2131,2011-04-07,"NDVI"
"404",0.2179,2011-04-15,"NDVI"
"405",0.1748,2011-04-23,"NDVI"
"406",0.1634,2011-05-01,"NDVI"
"407",0.1319,2011-05-09,"NDVI"
"408",0.1424,2011-05-17,"NDVI"
"409",0.1496,2011-05-25,"NDVI"
"410",0.1455,2011-06-02,"NDVI"
"411",0.1665,2011-06-10,"NDVI"
"412",0.1561,2011-06-18,"NDVI"
"413",0.2001,2011-06-26,"NDVI"
"414",0.515,2011-07-04,"NDVI"
"415",0.6799,2011-07-12,"NDVI"
"416",0.818,2011-07-20,"NDVI"
"417",0.905,2011-07-28,"NDVI"
"418",0.3934,2011-08-05,"NDVI"
"419",0.9042,2011-08-13,"NDVI"
"420",0.9053,2011-08-21,"NDVI"
"421",0.9158,2011-08-29,"NDVI"
"422",0.7934,2011-09-06,"NDVI"
"423",0.7431,2011-09-14,"NDVI"
"424",0.678,2011-09-22,"NDVI"
"425",0.7046,2011-09-30,"NDVI"
"426",0.5471,2011-10-08,"NDVI"
"427",0.25,2011-10-16,"NDVI"
"428",0.3179,2011-10-24,"NDVI"
"429",0.172,2011-11-01,"NDVI"
"430",0.1828,2011-11-09,"NDVI"
"431",0.2045,2011-11-17,"NDVI"
"432",0.4602,2011-11-25,"NDVI"
"433",0.5006,2011-12-03,"NDVI"
"434",0.7198,2011-12-11,"NDVI"
"435",0.7198,2011-12-19,"NDVI"
"436",NA,2011-12-27,"NDVI"
"437",0.7807,2012-01-01,"NDVI"
"438",0.8201,2012-01-09,"NDVI"
"439",0.8463,2012-01-17,"NDVI"
"440",0.8709,2012-01-25,"NDVI"
"441",0.8538,2012-02-02,"NDVI"
"442",0.77,2012-02-10,"NDVI"
"443",0.8149,2012-02-18,"NDVI"
"444",0.7751,2012-02-26,"NDVI"
"445",0.7466,2012-03-05,"NDVI"
"446",0.5366,2012-03-13,"NDVI"
"447",0.6303,2012-03-21,"NDVI"
"448",0.3584,2012-03-29,"NDVI"
"449",0.3537,2012-04-06,"NDVI"
"450",0.1947,2012-04-14,"NDVI"
"451",0.2142,2012-04-22,"NDVI"
"452",0.1871,2012-04-30,"NDVI"
"453",0.1574,2012-05-08,"NDVI"
"454",0.1459,2012-05-16,"NDVI"
"455",0.1533,2012-05-24,"NDVI"
"456",0.1383,2012-06-01,"NDVI"
"457",0.1534,2012-06-09,"NDVI"
"458",0.1743,2012-06-17,"NDVI"
"459",0.2231,2012-06-25,"NDVI"
"460",0.5651,2012-07-03,"NDVI"
"461",0.4441,2012-07-11,"NDVI"
"462",0.4834,2012-07-19,"NDVI"
"463",0.6881,2012-07-27,"NDVI"
"464",0.6533,2012-08-04,"NDVI"
"465",0.6036,2012-08-12,"NDVI"
"466",0.8306,2012-08-20,"NDVI"
"467",0.8897,2012-08-28,"NDVI"
"468",0.874,2012-09-05,"NDVI"
"469",0.7773,2012-09-13,"NDVI"
"470",0.7511,2012-09-21,"NDVI"
"471",0.7443,2012-09-29,"NDVI"
"472",0.642,2012-10-07,"NDVI"
"473",0.5373,2012-10-15,"NDVI"
"474",0.279,2012-10-23,"NDVI"
"475",0.2673,2012-10-31,"NDVI"
"476",0.1602,2012-11-08,"NDVI"
"477",0.2262,2012-11-16,"NDVI"
"478",0.3627,2012-11-24,"NDVI"
"479",0.4301,2012-12-02,"NDVI"
"480",0.678,2012-12-10,"NDVI"
"481",0.7348,2012-12-18,"NDVI"
"482",0.7509,2012-12-26,"NDVI"
"483",0.8195,2013-01-01,"NDVI"
"484",0.7509,2013-01-09,"NDVI"
"485",0.8455,2013-01-17,"NDVI"
"486",0.8355,2013-01-25,"NDVI"
"487",0.8657,2013-02-02,"NDVI"
"488",0.8714,2013-02-10,"NDVI"
"489",0.8649,2013-02-18,"NDVI"
"490",0.8922,2013-02-26,"NDVI"
"491",0.7252,2013-03-06,"NDVI"
"492",0.7587,2013-03-14,"NDVI"
"493",0.474,2013-03-22,"NDVI"
"494",0.2524,2013-03-30,"NDVI"
"495",0.2464,2013-04-07,"NDVI"
"496",0.2028,2013-04-15,"NDVI"
"497",0.1764,2013-04-23,"NDVI"
"498",0.1856,2013-05-01,"NDVI"
"499",0.1433,2013-05-09,"NDVI"
"500",0.154,2013-05-17,"NDVI"
"501",0.1557,2013-05-25,"NDVI"
"502",0.1652,2013-06-02,"NDVI"
"503",0.1956,2013-06-10,"NDVI"
"504",0.2116,2013-06-18,"NDVI"
"505",0.2013,2013-06-26,"NDVI"
"506",0.3581,2013-07-04,"NDVI"
"507",0.7832,2013-07-12,"NDVI"
"508",0.8093,2013-07-20,"NDVI"
"509",0.766,2013-08-13,"NDVI"
"510",0.8035,2013-08-29,"NDVI"
"511",0.83,2013-09-06,"NDVI"
"512",0.7542,2013-09-14,"NDVI"
"513",0.7477,2013-09-22,"NDVI"
"514",0.603,2013-09-30,"NDVI"
"515",0.4834,2013-10-08,"NDVI"
"516",0.4758,2013-10-16,"NDVI"
"517",0.1894,2013-10-24,"NDVI"
"518",0.1772,2013-11-01,"NDVI"
"519",0.2197,2013-11-09,"NDVI"
"520",0.4061,2013-11-17,"NDVI"
"521",0.3522,2013-11-25,"NDVI"
"522",0.7194,2013-12-03,"NDVI"
"523",0.7065,2013-12-11,"NDVI"
"524",0.8289,2013-12-19,"NDVI"
"525",0.7629,2013-12-27,"NDVI"
"526",0.7442,2014-01-01,"NDVI"
"527",0.8178,2014-01-09,"NDVI"
"528",0.8681,2014-01-17,"NDVI"
"529",0.8474,2014-01-25,"NDVI"
"530",0.7788,2014-02-02,"NDVI"
"531",0.8707,2014-02-10,"NDVI"
"532",0.8114,2014-02-18,"NDVI"
"533",0.8467,2014-02-26,"NDVI"
"534",0.7242,2014-03-06,"NDVI"
"535",0.7162,2014-03-14,"NDVI"
"536",0.3827,2014-03-22,"NDVI"
"537",0.3537,2014-03-30,"NDVI"
"538",0.1895,2014-04-07,"NDVI"
"539",0.1764,2014-04-15,"NDVI"
"540",0.1764,2014-04-23,"NDVI"
"541",0.1561,2014-05-01,"NDVI"
"542",0.1696,2014-05-09,"NDVI"
"543",0.1514,2014-05-17,"NDVI"
"544",0.1725,2014-05-25,"NDVI"
"545",0.3067,2014-06-02,"NDVI"
"546",0.1939,2014-06-10,"NDVI"
"547",0.2412,2014-06-18,"NDVI"
"548",0.2802,2014-06-26,"NDVI"
"549",0.3337,2014-07-04,"NDVI"
"550",0.6824,2014-07-12,"NDVI"
"551",0.5167,2014-07-20,"NDVI"
"552",0.8917,2014-07-28,"NDVI"
"553",0.8316,2014-08-05,"NDVI"
"554",0.818,2014-08-13,"NDVI"
"555",0.835,2014-08-21,"NDVI"
"556",0.8347,2014-08-29,"NDVI"
"557",0.7651,2014-09-06,"NDVI"
"558",0.735,2014-09-14,"NDVI"
"559",0.7511,2014-09-22,"NDVI"
"560",0.5725,2014-09-30,"NDVI"
"561",0.4245,2014-10-08,"NDVI"
"562",0.2938,2014-10-16,"NDVI"
"563",0.1819,2014-10-24,"NDVI"
"564",0.161,2014-11-01,"NDVI"
"565",0.1892,2014-11-09,"NDVI"
"566",0.3756,2014-11-17,"NDVI"
"567",0.5678,2014-11-25,"NDVI"
"568",0.5977,2014-12-03,"NDVI"
"569",0.7231,2014-12-19,"NDVI"
"570",0.7231,2015-01-01,"NDVI"
"571",0.8026,2015-01-17,"NDVI"
"572",0.8795,2015-02-02,"NDVI"
"573",0.8274,2015-02-18,"NDVI"
"574",0.8362,2015-03-06,"NDVI"
"575",0.6853,2015-03-22,"NDVI"
"576",0.2702,2015-03-30,"NDVI"
"577",0.269,2015-04-07,"NDVI"
"578",0.2077,2015-04-15,"NDVI"
"579",0.2101,2015-04-23,"NDVI"
"580",0.2132,2015-05-01,"NDVI"
"581",0.1716,2015-05-09,"NDVI"
"582",0.1798,2015-05-17,"NDVI"
"583",0.1693,2015-05-25,"NDVI"
"584",0.1896,2015-06-02,"NDVI"
"585",0.1859,2015-06-10,"NDVI"
"586",0.2343,2015-06-18,"NDVI"
"587",0.1613,2015-06-26,"NDVI"
"588",0.2509,2015-07-04,"NDVI"
"589",0.2385,2015-07-12,"NDVI"
"590",0.6996,2015-07-20,"NDVI"
"591",0.7779,2015-07-28,"NDVI"
"592",0.8207,2015-08-05,"NDVI"
"593",0.8069,2015-08-13,"NDVI"
"594",0.8376,2015-08-21,"NDVI"
"595",0.8108,2015-08-29,"NDVI"
"596",0.7954,2015-09-06,"NDVI"
"597",0.7843,2015-09-14,"NDVI"
"598",0.7385,2015-09-22,"NDVI"
"599",0.7611,2015-09-30,"NDVI"
"600",0.6213,2015-10-08,"NDVI"
"601",0.3845,2015-10-16,"NDVI"
"602",0.3093,2015-10-24,"NDVI"
"603",0.229,2015-11-01,"NDVI"
"604",0.174,2015-11-09,"NDVI"
"605",0.2089,2015-11-17,"NDVI"
"606",0.5103,2015-11-25,"NDVI"
"607",0.687,2015-12-03,"NDVI"
"608",0.7442,2015-12-11,"NDVI"
"609",0.7883,2015-12-19,"NDVI"
"610",0.7839,2015-12-27,"NDVI"
"611",0.8234,2016-01-01,"NDVI"
"612",0.796,2016-01-09,"NDVI"
"613",0.7363,2016-01-17,"NDVI"
"614",0.8571,2016-01-25,"NDVI"
"615",0.8635,2016-02-02,"NDVI"
"616",0.575008122546499,2002-07-04,"NDVI Smoothed"
"617",0.610888189586138,2002-07-12,"NDVI Smoothed"
"618",0.649811672586327,2002-07-20,"NDVI Smoothed"
"619",0.688529341833445,2002-07-28,"NDVI Smoothed"
"620",0.723791967613874,2002-08-05,"NDVI Smoothed"
"621",0.751945314284337,2002-08-13,"NDVI Smoothed"
"622",0.767715122482916,2002-08-21,"NDVI Smoothed"
"623",0.765422126918032,2002-08-29,"NDVI Smoothed"
"624",0.739387062298109,2002-09-06,"NDVI Smoothed"
"625",0.683930663331569,2002-09-14,"NDVI Smoothed"
"626",0.597308898498803,2002-09-22,"NDVI Smoothed"
"627",0.493518671368065,2002-09-30,"NDVI Smoothed"
"628",0.390492119279581,2002-10-08,"NDVI Smoothed"
"629",0.306161379573573,2002-10-16,"NDVI Smoothed"
"630",0.258458589590265,2002-10-24,"NDVI Smoothed"
"631",0.260307320576859,2002-11-01,"NDVI Smoothed"
